Date,Country,Value
7/1/2002,United Kingdom,0.6425
8/1/2002,United Kingdom,0.6507
9/1/2002,United Kingdom,0.6425
10/1/2002,United Kingdom,0.6421
11/1/2002,United Kingdom,0.6365
12/1/2002,United Kingdom,0.6304
1/1/2003,United Kingdom,0.6182
2/1/2003,United Kingdom,0.6219
3/1/2003,United Kingdom,0.6319
4/1/2003,United Kingdom,0.6354
5/1/2003,United Kingdom,0.6164
6/1/2003,United Kingdom,0.6021
7/1/2003,United Kingdom,0.6165
8/1/2003,United Kingdom,0.6274
9/1/2003,United Kingdom,0.619
10/1/2003,United Kingdom,0.5955
11/1/2003,United Kingdom,0.5918
12/1/2003,United Kingdom,0.5709
1/1/2004,United Kingdom,0.5478
2/1/2004,United Kingdom,0.5355
3/1/2004,United Kingdom,0.5476
4/1/2004,United Kingdom,0.5546
5/1/2004,United Kingdom,0.5599
6/1/2004,United Kingdom,0.5471
7/1/2004,United Kingdom,0.5424
8/1/2004,United Kingdom,0.5494
9/1/2004,United Kingdom,0.5575
10/1/2004,United Kingdom,0.5532
11/1/2004,United Kingdom,0.5374
12/1/2004,United Kingdom,0.5185
1/1/2005,United Kingdom,0.532
2/1/2005,United Kingdom,0.5299
3/1/2005,United Kingdom,0.5251
4/1/2005,United Kingdom,0.5274
5/1/2005,United Kingdom,0.5388
6/1/2005,United Kingdom,0.5501
7/1/2005,United Kingdom,0.5712
8/1/2005,United Kingdom,0.5573
9/1/2005,United Kingdom,0.5536
10/1/2005,United Kingdom,0.5665
11/1/2005,United Kingdom,0.5764
12/1/2005,United Kingdom,0.5728
1/1/2006,United Kingdom,0.5654
2/1/2006,United Kingdom,0.5721
3/1/2006,United Kingdom,0.5733
4/1/2006,United Kingdom,0.5656
5/1/2006,United Kingdom,0.5351
6/1/2006,United Kingdom,0.5424
7/1/2006,United Kingdom,0.5422
8/1/2006,United Kingdom,0.528
9/1/2006,United Kingdom,0.5308
10/1/2006,United Kingdom,0.5329
11/1/2006,United Kingdom,0.5229
12/1/2006,United Kingdom,0.5095
1/1/2007,United Kingdom,0.5105
2/1/2007,United Kingdom,0.5105
3/1/2007,United Kingdom,0.5135
4/1/2007,United Kingdom,0.503
5/1/2007,United Kingdom,0.504
6/1/2007,United Kingdom,0.5033
7/1/2007,United Kingdom,0.4913
8/1/2007,United Kingdom,0.4973
9/1/2007,United Kingdom,0.4954
10/1/2007,United Kingdom,0.489
11/1/2007,United Kingdom,0.4831
12/1/2007,United Kingdom,0.496
1/1/2008,United Kingdom,0.5076
2/1/2008,United Kingdom,0.509
3/1/2008,United Kingdom,0.4996
4/1/2008,United Kingdom,0.5046
5/1/2008,United Kingdom,0.5089
6/1/2008,United Kingdom,0.5085
7/1/2008,United Kingdom,0.5028
8/1/2008,United Kingdom,0.5301
9/1/2008,United Kingdom,0.5564
10/1/2008,United Kingdom,0.593
11/1/2008,United Kingdom,0.6524
12/1/2008,United Kingdom,0.6732
1/1/2009,United Kingdom,0.6915
2/1/2009,United Kingdom,0.6934
3/1/2009,United Kingdom,0.7057
4/1/2009,United Kingdom,0.6797
5/1/2009,United Kingdom,0.6486
6/1/2009,United Kingdom,0.6109
7/1/2009,United Kingdom,0.6106
8/1/2009,United Kingdom,0.6049
9/1/2009,United Kingdom,0.6126
10/1/2009,United Kingdom,0.6168
11/1/2009,United Kingdom,0.6024
12/1/2009,United Kingdom,0.6163
1/1/2010,United Kingdom,0.6189
2/1/2010,United Kingdom,0.6403
3/1/2010,United Kingdom,0.6641
4/1/2010,United Kingdom,0.6522
5/1/2010,United Kingdom,0.6817
6/1/2010,United Kingdom,0.6771
7/1/2010,United Kingdom,0.6534
8/1/2010,United Kingdom,0.6385
9/1/2010,United Kingdom,0.6414
10/1/2010,United Kingdom,0.6302
11/1/2010,United Kingdom,0.6265
12/1/2010,United Kingdom,0.6412
1/1/2011,United Kingdom,0.6336
2/1/2011,United Kingdom,0.6202
